"","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","ACERTOS_CN","ACERTOS_CH","ACERTOS_LC","ACERTOS_MT"
"1",431.4,470.9,519,556.7,14,14,17,12
"2",523.6,536.4,610.5,589.7,16,19,30,12
"3",440.6,448.1,487.3,446.1,13,13,14,8
"4",451.8,555.2,546.2,495.1,11,19,22,9
"5",482.8,496.5,470.5,630.5,14,18,12,13
"6",539.4,582.5,377.5,585.9,15,21,9,11
"7",555.8,560.3,589.5,494.9,17,21,30,11
"8",339.5,389.5,479.9,422.4,5,8,12,10
"9",615.9,645.7,663.3,743.4,26,31,36,25
"10",669.3,590.3,562.3,828,29,24,22,34
"11",403.4,453.6,500,522.5,6,13,13,9
"12",343.8,448.2,509.6,456.1,6,10,18,10
"13",430.6,385.1,462.1,477.8,8,11,11,6
"14",537.3,583.8,602.3,635.4,17,23,32,15
"15",561.8,587.7,583.5,677,19,21,28,21
"16",518.2,584,539.9,512.1,14,23,21,9
"17",405.4,474.5,401,430.6,8,14,7,11
"18",469.6,436.1,554.7,438.6,14,10,23,10
"19",560.9,559.9,553.1,535.5,18,20,22,10
"20",433.7,480.9,403.3,504.2,11,14,9,7
"21",401.4,382.6,407.4,469.7,10,9,10,9
"22",539.7,538.2,554.8,647.2,17,17,19,16
"23",451.6,552.7,576.5,654.8,12,20,28,16
"24",513.8,484.8,512.6,417,14,10,17,7
"25",590.2,586.8,575.2,652,18,24,26,18
"26",506.3,511.6,565.8,499,13,15,25,11
"27",361,526.2,476.1,488.3,7,17,13,9
"28",430.4,567.7,554.1,458.3,10,22,22,10
"29",393.7,487,511.7,401,11,15,17,4
"30",435.6,591.9,553.2,540.3,8,25,21,11
"31",399.8,440.2,471.9,562.2,7,12,13,12
"32",438.9,530.4,548.1,563.5,14,16,21,9
"33",398.7,473.5,441,492.2,5,15,9,9
"34",449.7,483.8,494.6,467.4,11,14,15,12
"35",533.9,465.3,425,434.5,17,14,9,6
"36",587.2,568.4,596.3,488.7,19,20,27,6
"37",350.7,503,536.5,416.9,8,18,18,9
"38",391.7,409.5,520,409.3,11,12,18,7
"39",519.2,562.4,493.4,659.8,13,18,13,19
"40",537.2,489.4,546.8,586.4,18,15,19,10
"41",456.3,570.7,572.8,717.9,12,21,24,21
"42",430.5,578.5,604.6,667.8,10,23,28,15
"43",431.4,514,543.8,520.6,10,16,20,9
"44",507.6,528.6,536.8,492.9,11,17,22,7
"45",489,428.1,365.8,399.1,12,11,8,8
"46",403.2,361.5,487.9,384.9,9,8,13,11
"47",366.6,352.9,373.9,366.7,7,8,14,4
"48",577.8,631.5,613.1,698.1,21,30,31,20
"49",354,544.3,544.1,645.7,6,20,21,16
"50",539.2,559.5,588.1,662.9,15,20,27,17
"51",542.8,533.6,563.1,689.2,17,17,25,19
"52",409.5,426.7,504.1,412.4,7,10,15,9
"53",469.7,597.6,568.8,685.5,13,25,23,19
"54",365.8,483.7,427.9,381,7,14,13,6
"55",508.3,572.5,531.1,552.1,14,22,19,11
"56",370.6,399.6,517.7,476.4,10,10,16,10
"57",494.9,536.7,514.2,568.1,12,17,17,15
"58",485.3,580.9,560.8,514,12,23,24,8
"59",474.2,511.3,528.5,395.7,15,16,16,6
"60",532.8,531.9,517.9,497.4,12,18,17,10
"61",551.4,607,586.5,563.3,16,25,27,10
"62",476.2,520.5,539.3,483.4,9,16,20,9
"63",398.4,448.8,468.9,420.6,7,14,11,3
"64",445.4,507.8,519.9,494.4,9,16,16,8
"65",456.9,401.8,539.2,595.9,12,10,20,14
"66",489.5,546.3,542.3,564.7,10,18,22,11
"67",485.2,505.9,562,570.2,13,16,21,10
"68",511.9,577.4,560.4,694.9,12,23,23,18
"69",412.4,515.2,602.6,546.2,9,17,30,10
"70",523.2,476.2,525.4,406.2,15,13,19,4
"71",529.1,511.6,549.5,485.2,16,15,23,6
"72",422.1,411.2,379.2,449.3,11,9,11,9
"73",561.9,630.5,601.7,698,18,30,30,23
"74",488,515.3,531.8,439.3,9,14,20,10
"75",444.1,457.5,518,499.7,9,10,16,9
"76",443.8,429,335,439.6,13,10,5,10
"77",464.6,416,496.5,382.2,10,8,12,11
"78",543.9,569,545.9,537.1,16,23,21,10
"79",385.9,346.5,392.5,470.2,9,6,8,8
"80",362.7,443.3,390.3,539.8,8,13,7,12
"81",406.4,464.1,533.5,485.7,9,13,19,10
"82",539.2,538.9,517.2,489.2,16,19,21,11
"83",581.3,550.5,614.9,707.9,19,20,33,19
"84",468.5,529.2,519.1,505.5,12,16,16,9
"85",520,635.6,588.9,482.8,15,29,27,10
"86",495.2,524.3,469.9,475.7,11,18,13,9
"87",366.8,523.3,534.8,378,6,17,17,7
"88",518.3,544,571,595.5,12,17,27,12
"89",418.4,408.6,511.7,380,10,10,16,9
"90",334.1,432.6,524.3,485.8,2,8,16,9
"91",547.3,522.5,575.1,486.9,16,18,24,10
"92",454.8,530.4,543.7,657.5,12,18,22,17
"93",534,462.7,507.3,399.1,16,11,15,6
"94",438.9,506.6,436.9,409.9,12,15,7,8
"95",448.3,425.1,482.7,447.9,14,8,15,11
"96",439.7,410.3,501.2,424.4,13,6,14,8
"97",385.7,503,545.5,457.5,8,14,23,10
"98",403.8,506.3,428.1,440.6,11,14,9,10
"99",555.2,557.4,557.8,646,16,19,21,17
"100",607.7,585.4,573,669.2,22,25,28,19
