"","nome_municipio","num_habilidade","ch.total","lc.total","mt.total","cn.total","ch.acertos","lc.acertos","mt.acertos","cn.acertos","ch.acuracia","lc.acuracia","mt.acuracia","cn.acuracia"
"1","Barreiros",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"2","Barreiros",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"3","Barreiros",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"4","Barreiros",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"5","Barreiros",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"6","Barreiros",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"7","Barreiros",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"8","Barreiros",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"9","Barreiros",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"10","Barreiros",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"11","Barreiros",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"12","Barreiros",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"13","Barreiros",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"14","Barreiros",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"15","Barreiros",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"16","Barreiros",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"17","Barreiros",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"18","Barreiros",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"19","Barreiros",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"20","Barreiros",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"21","Barreiros",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"22","Barreiros",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"23","Barreiros",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"24","Barreiros",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"25","Barreiros",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"26","Barreiros",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"27","Barreiros",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"28","Barreiros",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"29","Barreiros",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"30","Barreiros",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"31","Bezerros",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"32","Bezerros",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"33","Bezerros",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"34","Bezerros",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"35","Bezerros",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
