CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;LC;48074;D;6;AZUL;399;0;0
2;LC;37043;D;6;AZUL;399;0;0
3;LC;7463;C;5;AZUL;399;0;0
4;LC;54099;D;7;AZUL;399;0;0
5;LC;18212;E;7;AZUL;399;0;0
6;LC;23183;E;5;AZUL;399;1;0
7;LC;33118;D;6;AZUL;399;1;0
8;LC;88785;B;8;AZUL;399;1;0
9;LC;60767;E;6;AZUL;399;1;0
10;LC;47905;E;8;AZUL;399;1;0
11;LC;62046;B;1;AZUL;399;;0
12;LC;88888;D;16;AZUL;399;;0
13;LC;23784;A;29;AZUL;399;;0
14;LC;38057;E;4;AZUL;399;;0
15;LC;39670;D;18;AZUL;399;;0
16;LC;48314;A;28;AZUL;399;;0
17;LC;30469;A;20;AZUL;399;;0
18;LC;84380;B;15;AZUL;399;;0
19;LC;32266;C;4;AZUL;399;;0
20;LC;44273;E;23;AZUL;399;;0
21;LC;31174;C;22;AZUL;399;;0
22;LC;18642;D;30;AZUL;399;;0
23;LC;85411;A;16;AZUL;399;;0
24;LC;84042;E;9;AZUL;399;;0
25;LC;29586;B;20;AZUL;399;;0
26;LC;36865;A;12;AZUL;399;;0
27;LC;61636;D;22;AZUL;399;;0
28;LC;86768;E;19;AZUL;399;;0
29;LC;82891;D;15;AZUL;399;;0
30;LC;77759;E;1;AZUL;399;;0
31;LC;90150;D;10;AZUL;399;;0
32;LC;68416;B;26;AZUL;399;;0
33;LC;55771;B;2;AZUL;399;;0
34;LC;29181;B;19;AZUL;399;;0
35;LC;86322;D;15;AZUL;399;;0
36;LC;32474;E;11;AZUL;399;;0
37;LC;31891;A;3;AZUL;399;;0
38;LC;19655;B;27;AZUL;399;;0
39;LC;7069;B;2;AZUL;399;;0
40;LC;90020;C;24;AZUL;399;;0
41;LC;30995;C;14;AZUL;399;;0
42;LC;29528;A;12;AZUL;399;;0
43;LC;68284;B;25;AZUL;399;;0
44;LC;39530;A;25;AZUL;399;;0
45;LC;84452;A;17;AZUL;399;;0
46;LC;96950;E;21;AZUL;399;;0
47;LC;85925;D;9;AZUL;399;;0
48;LC;53474;D;14;AZUL;399;;0
49;LC;55024;C;25;AZUL;399;;0
50;LC;60715;B;13;AZUL;399;;0
1;LC;18212;E;7;AMARELA;400;0;0
2;LC;48074;D;6;AMARELA;400;0;0
3;LC;54099;D;7;AMARELA;400;0;0
4;LC;7463;C;5;AMARELA;400;0;0
5;LC;37043;D;6;AMARELA;400;0;0
6;LC;88785;B;8;AMARELA;400;1;0
7;LC;60767;E;6;AMARELA;400;1;0
8;LC;23183;E;5;AMARELA;400;1;0
9;LC;33118;D;6;AMARELA;400;1;0
10;LC;47905;E;8;AMARELA;400;1;0
11;LC;31174;C;22;AMARELA;400;;0
12;LC;32266;C;4;AMARELA;400;;0
13;LC;44273;E;23;AMARELA;400;;0
14;LC;62046;B;1;AMARELA;400;;0
15;LC;18642;D;30;AMARELA;400;;0
16;LC;85411;A;16;AMARELA;400;;0
17;LC;84042;E;9;AMARELA;400;;0
18;LC;88888;D;16;AMARELA;400;;0
19;LC;23784;A;29;AMARELA;400;;0
20;LC;38057;E;4;AMARELA;400;;0
21;LC;39670;D;18;AMARELA;400;;0
22;LC;48314;A;28;AMARELA;400;;0
23;LC;30469;A;20;AMARELA;400;;0
24;LC;84380;B;15;AMARELA;400;;0
25;LC;77759;E;1;AMARELA;400;;0
26;LC;90150;D;10;AMARELA;400;;0
27;LC;68416;B;26;AMARELA;400;;0
28;LC;29586;B;20;AMARELA;400;;0
29;LC;36865;A;12;AMARELA;400;;0
30;LC;61636;D;22;AMARELA;400;;0
31;LC;86768;E;19;AMARELA;400;;0
32;LC;82891;D;15;AMARELA;400;;0
33;LC;96950;E;21;AMARELA;400;;0
34;LC;85925;D;9;AMARELA;400;;0
35;LC;53474;D;14;AMARELA;400;;0
36;LC;29528;A;12;AMARELA;400;;0
37;LC;68284;B;25;AMARELA;400;;0
38;LC;39530;A;25;AMARELA;400;;0
39;LC;84452;A;17;AMARELA;400;;0
40;LC;55771;B;2;AMARELA;400;;0
41;LC;29181;B;19;AMARELA;400;;0
42;LC;86322;D;15;AMARELA;400;;0
43;LC;55024;C;25;AMARELA;400;;0
44;LC;60715;B;13;AMARELA;400;;0
45;LC;32474;E;11;AMARELA;400;;0
46;LC;31891;A;3;AMARELA;400;;0
47;LC;19655;B;27;AMARELA;400;;0
48;LC;7069;B;2;AMARELA;400;;0
49;LC;90020;C;24;AMARELA;400;;0
50;LC;30995;C;14;AMARELA;400;;0
1;LC;37043;D;6;BRANCA;402;0;0
2;LC;48074;D;6;BRANCA;402;0;0
3;LC;7463;C;5;BRANCA;402;0;0
4;LC;54099;D;7;BRANCA;402;0;0
5;LC;18212;E;7;BRANCA;402;0;0
6;LC;60767;E;6;BRANCA;402;1;0
7;LC;33118;D;6;BRANCA;402;1;0
8;LC;88785;B;8;BRANCA;402;1;0
9;LC;23183;E;5;BRANCA;402;1;0
10;LC;47905;E;8;BRANCA;402;1;0
11;LC;32266;C;4;BRANCA;402;;0
12;LC;44273;E;23;BRANCA;402;;0
13;LC;29586;B;20;BRANCA;402;;0
14;LC;36865;A;12;BRANCA;402;;0
15;LC;61636;D;22;BRANCA;402;;0
16;LC;86768;E;19;BRANCA;402;;0
17;LC;82891;D;15;BRANCA;402;;0
18;LC;32474;E;11;BRANCA;402;;0
19;LC;31891;A;3;BRANCA;402;;0
20;LC;19655;B;27;BRANCA;402;;0
21;LC;77759;E;1;BRANCA;402;;0
22;LC;90150;D;10;BRANCA;402;;0
23;LC;68416;B;26;BRANCA;402;;0
24;LC;55771;B;2;BRANCA;402;;0
25;LC;29181;B;19;BRANCA;402;;0
26;LC;86322;D;15;BRANCA;402;;0
27;LC;7069;B;2;BRANCA;402;;0
28;LC;90020;C;24;BRANCA;402;;0
29;LC;30995;C;14;BRANCA;402;;0
30;LC;29528;A;12;BRANCA;402;;0
31;LC;68284;B;25;BRANCA;402;;0
32;LC;39530;A;25;BRANCA;402;;0
33;LC;84452;A;17;BRANCA;402;;0
34;LC;48314;A;28;BRANCA;402;;0
35;LC;30469;A;20;BRANCA;402;;0
36;LC;84380;B;15;BRANCA;402;;0
37;LC;55024;C;25;BRANCA;402;;0
38;LC;60715;B;13;BRANCA;402;;0
39;LC;88888;D;16;BRANCA;402;;0
40;LC;23784;A;29;BRANCA;402;;0
41;LC;38057;E;4;BRANCA;402;;0
42;LC;39670;D;18;BRANCA;402;;0
43;LC;96950;E;21;BRANCA;402;;0
44;LC;85925;D;9;BRANCA;402;;0
45;LC;53474;D;14;BRANCA;402;;0
46;LC;62046;B;1;BRANCA;402;;0
47;LC;31174;C;22;BRANCA;402;;0
48;LC;18642;D;30;BRANCA;402;;0
49;LC;85411;A;16;BRANCA;402;;0
50;LC;84042;E;9;BRANCA;402;;0
1;LC;48074;D;6;ROSA;401;0;0
2;LC;18212;E;7;ROSA;401;0;0
3;LC;54099;D;7;ROSA;401;0;0
4;LC;7463;C;5;ROSA;401;0;0
5;LC;37043;D;6;ROSA;401;0;0
6;LC;88785;B;8;ROSA;401;1;0
7;LC;23183;E;5;ROSA;401;1;0
8;LC;60767;E;6;ROSA;401;1;0
9;LC;33118;D;6;ROSA;401;1;0
10;LC;47905;E;8;ROSA;401;1;0
11;LC;44273;E;23;ROSA;401;;0
12;LC;32266;C;4;ROSA;401;;0
13;LC;29528;A;12;ROSA;401;;0
14;LC;68284;B;25;ROSA;401;;0
15;LC;39530;A;25;ROSA;401;;0
16;LC;84452;A;17;ROSA;401;;0
17;LC;96950;E;21;ROSA;401;;0
18;LC;85925;D;9;ROSA;401;;0
19;LC;53474;D;14;ROSA;401;;0
20;LC;55024;C;25;ROSA;401;;0
21;LC;60715;B;13;ROSA;401;;0
22;LC;61636;D;22;ROSA;401;;0
23;LC;86768;E;19;ROSA;401;;0
24;LC;82891;D;15;ROSA;401;;0
25;LC;29586;B;20;ROSA;401;;0
26;LC;36865;A;12;ROSA;401;;0
27;LC;32474;E;11;ROSA;401;;0
28;LC;31891;A;3;ROSA;401;;0
29;LC;19655;B;27;ROSA;401;;0
30;LC;55771;B;2;ROSA;401;;0
31;LC;29181;B;19;ROSA;401;;0
32;LC;86322;D;15;ROSA;401;;0
33;LC;77759;E;1;ROSA;401;;0
34;LC;90150;D;10;ROSA;401;;0
35;LC;68416;B;26;ROSA;401;;0
36;LC;7069;B;2;ROSA;401;;0
37;LC;90020;C;24;ROSA;401;;0
38;LC;30995;C;14;ROSA;401;;0
39;LC;18642;D;30;ROSA;401;;0
40;LC;85411;A;16;ROSA;401;;0
41;LC;84042;E;9;ROSA;401;;0
42;LC;62046;B;1;ROSA;401;;0
43;LC;31174;C;22;ROSA;401;;0
44;LC;48314;A;28;ROSA;401;;0
45;LC;30469;A;20;ROSA;401;;0
46;LC;84380;B;15;ROSA;401;;0
47;LC;88888;D;16;ROSA;401;;0
48;LC;23784;A;29;ROSA;401;;0
49;LC;38057;E;4;ROSA;401;;0
50;LC;39670;D;18;ROSA;401;;0
1;LC;48074;D;6;LARANJA;409;0;1
2;LC;37043;D;6;LARANJA;409;0;1
3;LC;7463;C;5;LARANJA;409;0;1
4;LC;54099;D;7;LARANJA;409;0;1
5;LC;18212;E;7;LARANJA;409;0;1
