"","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","ACERTOS_CN","ACERTOS_CH","ACERTOS_LC","ACERTOS_MT"
"1",583.7,638.6,630.5,600,15,24,31,13
"2",522.3,495.7,469.2,445.4,12,12,13,9
"3",546.7,472.4,538.4,516.4,13,10,22,9
"4",438.1,522,520.7,517,7,13,18,13
"5",639.3,689.8,589.3,695.4,18,32,26,21
"6",605.9,614.8,601.5,670.2,19,23,28,18
"7",469.2,400,504.3,474.1,9,8,16,8
"8",472.9,544.5,545.2,563.5,11,15,23,10
"9",516.1,521.5,479.9,503.3,11,14,14,10
"10",447.6,479.2,498.9,489.1,11,13,17,7
"11",514.7,526.4,452.7,499.5,10,15,13,12
"12",600.4,668.8,630.1,499.1,15,29,34,12
"13",474.3,581.3,498.8,523.2,7,21,17,10
"14",543.3,550.6,543.9,427.3,15,18,22,6
"15",487.2,513.4,532.9,504.5,11,13,20,10
"16",657.4,717.2,647.5,648.9,24,34,33,16
"17",617.1,655,624.3,727.2,17,28,33,21
"18",479,488.3,547.7,530.9,7,10,21,9
"19",410.4,452.3,474.6,446.2,8,9,12,10
"20",586.1,594.5,564.8,633.8,15,21,26,14
"21",517.6,524,483.1,435.9,9,17,14,10
"22",561.2,440.2,542.3,401.8,15,11,24,10
"23",530.7,555.6,520.7,606.1,13,16,19,14
"24",454.8,540.7,398.9,460.6,9,17,7,10
"25",488.7,602.5,587.2,657.6,11,22,28,16
"26",403.4,562.6,590.8,608.6,13,15,30,13
"27",588.6,556.9,553,403,16,16,23,8
"28",478.7,491,472.2,434.7,5,14,14,8
"29",495.8,574.5,489.2,390.5,11,17,14,7
"30",609.9,441.7,465.1,635.8,18,7,14,13
